LSOA_code,GH_Ratio
E01000001,0.9
E01000002,0.91
E01000003,0.85
E01000005,0.81
E01032739,0.93
E01032740,0.93
E01000006,0.85
E01000007,0.88
E01000008,0.84
E01000009,0.85
E01000011,0.86
E01000012,0.87
E01000013,0.82
E01000014,0.83
E01000015,0.85
E01000016,0.84
E01000017,0.82
E01000018,0.83
E01000019,0.83
E01000020,0.8
E01000021,0.82
E01000022,0.84
E01000024,0.82
E01000025,0.82
E01000027,0.8
E01000028,0.81
E01000029,0.82
E01000030,0.84
E01000031,0.84
E01000032,0.83
E01000033,0.79
E01000034,0.78
E01000035,0.82
E01000036,0.84
E01000037,0.85
E01000038,0.83
E01000039,0.85
E01000040,0.83
E01000041,0.86
E01000042,0.83
E01000043,0.84
E01000044,0.85
E01000045,0.83
E01000046,0.83
E01000049,0.86
E01000050,0.84
E01000051,0.92
E01000052,0.85
E01000053,0.81
E01000054,0.84
E01000055,0.82
E01000056,0.8
E01000057,0.84
E01000058,0.83
E01000059,0.8
E01000060,0.83
E01000061,0.82
E01000062,0.85
E01000063,0.83
E01000064,0.82
E01000065,0.77
E01000066,0.84
E01000067,0.82
E01000068,0.85
E01000069,0.87
E01000070,0.84
E01000071,0.86
E01000072,0.84
E01000073,0.83
E01000074,0.82
E01000075,0.83
E01000076,0.81
E01000077,0.8
E01000078,0.82
E01000079,0.81
E01000080,0.83
E01000081,0.84
E01000082,0.84
E01000083,0.81
E01000084,0.81
E01000085,0.84
E01000086,0.8
E01000087,0.84
E01000088,0.84
E01000089,0.87
E01000090,0.87
E01000091,0.84
E01000093,0.82
E01000094,0.89
E01000095,0.87
E01000096,0.86
E01000097,0.81
E01000098,0.81
E01000099,0.85
E01000100,0.83
E01000101,0.81
E01000102,0.82
E01000103,0.84
E01000104,0.84
E01000105,0.81
E01000106,0.83
E01000107,0.83
E01000108,0.86
E01000110,0.86
E01000111,0.84
E01000112,0.87
E01000113,0.87
E01000114,0.87
E01032580,0.83
E01033587,0.9
E01034469,0.9
E01034470,0.84
E01034471,0.89
E01034472,0.91
E01034473,0.86
E01034474,0.89
E01034475,0.82
E01034476,0.88
E01034477,0.91
E01034478,0.92
E01034479,0.87
E01000115,0.85
E01000116,0.85
E01000117,0.82
E01000118,0.87
E01000119,0.84
E01000120,0.85
E01000121,0.76
E01000122,0.86
E01000123,0.87
E01000124,0.84
E01000126,0.84
E01000127,0.83
E01000128,0.84
E01000129,0.83
E01000130,0.83
E01000131,0.86
E01000132,0.84
E01000133,0.8
E01000134,0.84
E01000135,0.85
E01000136,0.87
E01000137,0.83
E01000138,0.83
E01000139,0.87
E01000140,0.88
E01000141,0.85
E01000142,0.84
E01000143,0.82
E01000144,0.86
E01000145,0.87
E01000146,0.86
E01000147,0.87
E01000150,0.86
E01000151,0.82
E01000152,0.9
E01000153,0.82
E01000154,0.86
E01000156,0.89
E01000157,0.87
E01000158,0.85
E01000159,0.85
E01000160,0.89
E01000161,0.83
E01000162,0.8
E01000163,0.83
E01000164,0.84
E01000165,0.84
E01000166,0.83
E01000167,0.81
E01000168,0.86
E01000169,0.86
E01000170,0.84
E01000171,0.87
E01000172,0.86
E01000173,0.88
E01000174,0.84
E01000175,0.89
E01000176,0.77
E01000177,0.9
E01000178,0.88
E01000179,0.9
E01000180,0.83
E01000181,0.89
E01000182,0.87
E01000183,0.83
E01000184,0.85
E01000185,0.79
E01000186,0.9
E01000187,0.86
E01000188,0.87
E01000189,0.88
E01000190,0.86
E01000191,0.86
E01000192,0.87
E01000193,0.86
E01000194,0.86
E01000195,0.81
E01000196,0.83
E01000197,0.87
E01000198,0.9
E01000199,0.86
E01000200,0.86
E01000201,0.89
E01000202,0.89
E01000203,0.85
E01000204,0.86
E01000205,0.89
E01000206,0.92
E01000207,0.88
E01000208,0.9
E01000209,0.84
E01000210,0.91
E01000211,0.84
E01000212,0.89
E01000213,0.93
E01000214,0.88
E01000215,0.88
E01000216,0.88
E01000217,0.92
E01000218,0.88
E01000219,0.88
E01000220,0.82
E01000221,0.82
E01000222,0.84
E01000223,0.85
E01000224,0.85
E01000225,0.88
E01000226,0.84
E01000227,0.85
E01000228,0.87
E01000229,0.83
E01000230,0.86
E01000231,0.85
E01000232,0.84
E01000233,0.89
E01000234,0.89
E01000235,0.86
E01000236,0.9
E01000237,0.9
E01000238,0.9
E01000239,0.85
E01000240,0.86
E01000241,0.87
E01000242,0.86
E01000243,0.86
E01000244,0.86
E01000245,0.85
E01000246,0.88
E01000247,0.88
E01000248,0.86
E01000249,0.89
E01000250,0.86
E01000251,0.82
E01000252,0.84
E01000253,0.88
E01000254,0.87
E01000255,0.83
E01000256,0.89
E01000257,0.83
E01000258,0.85
E01000259,0.86
E01000260,0.89
E01000261,0.88
E01000263,0.93
E01000264,0.89
E01000265,0.85
E01000266,0.9
E01000267,0.87
E01000268,0.87
E01000269,0.86
E01000270,0.87
E01000271,0.86
E01000272,0.86
E01000273,0.83
E01000274,0.86
E01000275,0.85
E01000276,0.91
E01000277,0.83
E01000278,0.9
E01000279,0.88
E01000280,0.89
E01000281,0.88
E01000282,0.88
E01000283,0.89
E01000284,0.85
E01000285,0.85
E01000286,0.81
E01000287,0.82
E01000288,0.87
E01000289,0.81
E01000290,0.81
E01000291,0.79
E01000292,0.83
E01000293,0.88
E01000294,0.84
E01000295,0.89
E01000296,0.88
E01000297,0.87
E01000298,0.88
E01000299,0.85
E01000300,0.87
E01000301,0.87
E01000302,0.82
E01000303,0.87
E01000304,0.85
E01000305,0.85
E01000306,0.86
E01000307,0.84
E01000308,0.84
E01000309,0.88
E01000310,0.83
E01000311,0.91
E01000312,0.81
E01000313,0.85
E01000314,0.87
E01000315,0.81
E01000316,0.83
E01000317,0.84
E01000318,0.8
E01000319,0.87
E01000320,0.87
E01000321,0.85
E01000322,0.86
E01000323,0.82
E01000324,0.86
E01033911,0.87
E01033912,0.92
E01033913,0.82
E01033914,0.86
E01033915,0.85
E01033916,0.85
E01033917,0.89
E01033918,0.89
E01033919,0.91
E01033920,0.89
E01033921,0.92
E01033922,0.92
E01033923,0.84
E01033924,0.82
E01033925,0.87
E01000325,0.87
E01000326,0.87
E01000327,0.86
E01000328,0.82
E01000329,0.84
E01000330,0.79
E01000331,0.82
E01000332,0.79
E01000333,0.83
E01000334,0.83
E01000335,0.87
E01000336,0.81
E01000337,0.87
E01000338,0.86
E01000339,0.81
E01000340,0.84
E01000341,0.82
E01000342,0.86
E01000343,0.86
E01000344,0.84
E01000345,0.89
E01000346,0.88
E01000347,0.85
E01000348,0.88
E01000349,0.86
E01000350,0.88
E01000351,0.84
E01000352,0.83
E01000353,0.82
E01000354,0.82
E01000355,0.83
E01000356,0.82
E01000357,0.89
E01000358,0.86
E01000359,0.85
E01000360,0.83
E01000361,0.86
E01000362,0.85
E01000363,0.84
E01000364,0.85
E01000365,0.82
E01000366,0.87
E01000367,0.83
E01000368,0.81
E01000369,0.83
E01000370,0.82
E01000371,0.87
E01000372,0.82
E01000373,0.89
E01000374,0.81
E01000375,0.86
E01000376,0.86
E01000377,0.84
E01000379,0.84
E01000380,0.75
E01000381,0.78
E01000382,0.86
E01000383,0.83
E01000384,0.86
E01000385,0.81
E01000386,0.75
E01000387,0.85
E01000388,0.85
E01000389,0.85
E01000390,0.86
E01000391,0.85
E01000392,0.85
E01000393,0.87
E01000394,0.81
E01000395,0.87
E01000396,0.86
E01000398,0.8
E01000399,0.84
E01000400,0.85
E01000401,0.77
E01000402,0.81
E01000403,0.79
E01000404,0.87
E01000405,0.88
E01000406,0.88
E01000407,0.82
E01000408,0.86
E01000409,0.89
E01000410,0.89
E01000411,0.87
E01000412,0.87
E01000413,0.85
E01000414,0.85
E01000415,0.86
E01000416,0.82
E01000417,0.82
E01000418,0.86
E01000419,0.82
E01000420,0.82
E01000421,0.83
E01000422,0.84
E01000423,0.85
E01000424,0.83
E01000425,0.84
E01000426,0.88
E01000427,0.83
E01000428,0.79
E01000429,0.83
E01000430,0.87
E01000431,0.82
E01000433,0.83
E01000434,0.78
E01000435,0.83
E01000436,0.86
E01000437,0.86
E01000438,0.84
E01000439,0.85
E01000440,0.84
E01000441,0.83
E01000442,0.83
E01000443,0.83
E01000444,0.88
E01000445,0.85
E01000446,0.86
E01000447,0.86
E01000448,0.86
E01000449,0.84
E01000450,0.85
E01000451,0.88
E01000452,0.87
E01000453,0.87
E01000454,0.81
E01000455,0.86
E01000456,0.85
E01000457,0.85
E01000458,0.83
E01000459,0.82
E01000460,0.87
E01000461,0.88
E01000462,0.81
E01000463,0.88
E01000464,0.82
E01000465,0.8
E01000466,0.85
E01000467,0.84
E01000468,0.89
E01000469,0.86
E01000470,0.82
E01032566,0.8
E01033789,0.91
E01033790,0.81
E01033791,0.82
E01033792,0.84
E01000471,0.86
E01000472,0.87
E01000473,0.87
E01000474,0.88
E01000475,0.86
E01000476,0.84
E01000477,0.88
E01000478,0.86
E01000479,0.85
E01000480,0.85
E01000481,0.86
E01000483,0.82
E01000484,0.8
E01000485,0.77
E01000486,0.86
E01000487,0.83
E01000488,0.88
E01000489,0.81
E01000490,0.86
E01000491,0.87
E01000492,0.86
E01000493,0.87
E01000494,0.84
E01000495,0.8
E01000497,0.83
E01000498,0.83
E01000499,0.84
E01000501,0.85
E01000502,0.85
E01000503,0.84
E01000504,0.88
E01000505,0.82
E01000506,0.86
E01000507,0.84
E01000508,0.83
E01000509,0.81
E01000510,0.86
E01000511,0.87
E01000512,0.87
E01000513,0.83
E01000514,0.86
E01000515,0.84
E01000516,0.86
E01000517,0.85
E01000518,0.81
E01000519,0.84
E01000520,0.83
E01000521,0.8
E01000522,0.84
E01000523,0.84
E01000524,0.84
E01000525,0.82
E01000526,0.77
E01000527,0.82
E01000528,0.82
E01000530,0.87
E01000531,0.82
E01000532,0.85
E01000533,0.79
E01000534,0.88
E01000535,0.86
E01000536,0.83
E01000538,0.88
E01000539,0.84
E01000540,0.84
E01000541,0.83
E01000543,0.85
E01000544,0.85
E01000545,0.86
E01000546,0.86
E01000547,0.87
E01000548,0.84
E01000549,0.89
E01000550,0.8
E01000551,0.83
E01000552,0.83
E01000553,0.85
E01000554,0.86
E01000555,0.87
E01000556,0.85
E01000557,0.81
E01000558,0.84
E01000559,0.82
E01000560,0.87
E01000561,0.87
E01000562,0.85
E01000563,0.84
E01000564,0.88
E01000565,0.83
E01000566,0.84
E01000567,0.85
E01000568,0.88
E01000569,0.86
E01000570,0.82
E01000571,0.84
E01000572,0.88
E01000573,0.87
E01000574,0.87
E01000575,0.88
E01000576,0.85
E01000577,0.87
E01000578,0.8
E01000579,0.87
E01000580,0.88
E01000581,0.88
E01000582,0.91
E01000583,0.87
E01000584,0.85
E01000585,0.87
E01000586,0.87
E01000587,0.87
E01000589,0.85
E01000590,0.86
E01000591,0.87
E01000592,0.84
E01000593,0.86
E01000594,0.88
E01000595,0.82
E01000596,0.81
E01000599,0.82
E01000601,0.76
E01000602,0.8
E01000603,0.81
E01000604,0.79
E01000605,0.81
E01000606,0.85
E01000607,0.88
E01000608,0.82
E01000609,0.86
E01000610,0.83
E01000611,0.87
E01000612,0.83
E01000613,0.85
E01000615,0.9
E01000616,0.86
E01000617,0.85
E01000618,0.86
E01000619,0.84
E01000620,0.8
E01000621,0.85
E01000622,0.85
E01000623,0.87
E01000624,0.83
E01000625,0.84
E01000626,0.81
E01000627,0.83
E01000628,0.83
E01000629,0.86
E01000630,0.86
E01000631,0.87
E01000632,0.87
E01000633,0.88
E01000634,0.88
E01000636,0.87
E01000637,0.84
E01000638,0.84
E01000639,0.87
E01000640,0.86
E01000641,0.84
E01000642,0.87
E01000643,0.8
E01000644,0.83
E01033455,0.83
E01033456,0.81
E01033457,0.89
E01033463,0.86
E01033485,0.84
E01033929,0.91
E01033930,0.81
E01033931,0.81
E01033932,0.81
E01033933,0.81
E01033934,0.84
E01033935,0.86
E01033936,0.87
E01033937,0.81
E01033938,0.76
E01033939,0.91
E01033940,0.91
E01033941,0.87
E01033942,0.91
E01000645,0.91
E01000646,0.85
E01000647,0.9
E01000648,0.89
E01000649,0.9
E01000650,0.86
E01000651,0.79
E01000652,0.88
E01000653,0.84
E01000654,0.86
E01000655,0.87
