lsoa11,London_lsoa_22,MHI_2022,MHI_decile_2022
E01000001,E01000001,-1.161850719,1
E01000002,E01000002,-1.186593541,1
E01000003,E01000003,-0.863323298,1
E01000005,E01000005,-1.148610587,1
E01000006,E01000006,-1.064453705,1
E01000007,E01000007,-1.18412411,1
E01000008,E01000008,-1.027819535,1
E01000009,E01000009,-0.811539665,1
E01000011,E01000011,-0.871157159,1
E01000012,E01000012,-1.140128969,1
E01000013,E01000013,-0.735441882,1
E01000014,E01000014,0.0580213,3
E01000015,E01000015,-0.418609971,1
E01000016,E01000016,0.417093781,5
E01000017,E01000017,0.033365828,3
E01000018,E01000018,-0.151562046,2
E01000019,E01000019,-0.846132618,1
E01000020,E01000020,0.188134244,3
E01000021,E01000021,0.101309491,3
E01000022,E01000022,-0.060513257,2
E01000024,E01000024,-0.376736772,1
E01000025,E01000025,0.092270521,3
E01000027,E01000027,-0.00345928,3
E01000028,E01000028,0.746170238,6
E01000029,E01000029,-0.050618834,3
E01000030,E01000030,-0.505140087,1
E01000031,E01000031,-0.665390038,1
E01000032,E01000032,-0.531161052,1
E01000033,E01000033,-0.047767777,3
E01000034,E01000034,1.371651577,8
E01000035,E01000035,0.793348047,6
E01000036,E01000036,-0.070856466,2
E01000037,E01000037,-0.354098047,2
E01000038,E01000038,-0.220805642,2
E01000039,E01000039,-0.411958231,1
E01000040,E01000040,-0.442897974,1
E01000041,E01000041,-0.386619838,1
E01000042,E01000042,-0.544324423,1
E01000043,E01000043,-0.416808926,1
E01000044,E01000044,-1.230016126,1
E01000045,E01000045,-0.372880382,1
E01000046,E01000046,-0.225889099,2
E01000049,E01000049,-1.010859792,1
E01000050,E01000050,-0.76004496,1
E01000051,E01000051,-1.000203294,1
E01000052,E01000052,-0.620709281,1
E01000053,E01000053,0.686801007,6
E01000054,E01000054,0.030463315,3
E01000055,E01000055,-0.501701203,1
E01000056,E01000056,0.513524444,5
E01000057,E01000057,-0.685741737,1
E01000058,E01000058,-0.131173145,2
E01000059,E01000059,0.163188781,3
E01000060,E01000060,0.289447801,4
E01000061,E01000061,1.004062389,7
E01000062,E01000062,-0.200271142,2
E01000063,E01000063,-0.357521572,2
E01000064,E01000064,0.456619271,5
E01000065,E01000065,0.369023183,4
E01000066,E01000066,-0.814580679,1
E01000067,E01000067,-0.407052139,1
E01000068,E01000068,-0.855497909,1
E01000069,E01000069,-0.771177334,1
E01000070,E01000070,-0.737041719,1
E01000071,E01000071,-0.872688585,1
E01000072,E01000072,-0.23667838,2
E01000073,E01000073,0.156362478,3
E01000074,E01000074,-0.0148474,3
E01000075,E01000075,-0.282310177,2
E01000076,E01000076,-0.261036057,2
E01000077,E01000077,0.133820798,3
E01000078,E01000078,-0.412022986,1
E01000079,E01000079,-0.104939813,2
E01000080,E01000080,-0.257949748,2
E01000081,E01000081,-0.239505298,2
E01000082,E01000082,-0.697285141,1
E01000083,E01000083,-0.367722126,1
E01000084,E01000084,-0.246714015,2
E01000085,E01000085,-0.30568701,2
E01000086,E01000086,1.133199459,8
E01000087,E01000087,-0.566177326,1
E01000088,E01000088,-0.016679967,3
E01000089,E01000089,-0.847375974,1
E01000090,E01000090,-0.811627983,1
E01000091,E01000091,-0.452716168,1
E01000093,E01000093,-0.323304917,2
E01000094,E01000094,-0.866491762,1
E01000095,E01000095,-0.484930677,1
E01000096,E01000096,-0.679304582,1
E01000097,E01000097,0.562578975,5
E01000098,E01000098,-0.217709162,2
E01000099,E01000099,-0.620922593,1
E01000100,E01000100,-0.273372917,2
E01000101,E01000101,0.334131072,4
E01000102,E01000102,0.084778329,3
E01000103,E01000103,-0.325030735,2
E01000104,E01000104,-0.281307019,2
E01000105,E01000105,0.235104448,4
E01000106,E01000106,0.315031329,4
E01000107,E01000107,-0.317847918,2
E01000108,E01000108,-0.620987734,1
E01000110,E01000110,-0.730696776,1
E01000111,E01000111,-0.280294784,2
E01000112,E01000112,-0.461131179,1
E01000113,E01000113,-0.734566542,1
E01000114,E01000114,-0.549551802,1
E01000115,E01000115,-0.775715565,1
E01000116,E01000116,-0.356752143,2
E01000117,E01000117,0.017327335,3
E01000118,E01000118,-0.335403161,2
E01000119,E01000119,-0.577294264,1
E01000120,E01000120,-0.610749018,1
E01000121,E01000121,0.37673987,4
E01000122,E01000122,-0.658062235,1
E01000123,E01000123,-0.483831513,1
E01000124,E01000124,-0.365687246,1
E01000126,E01000126,-0.309434898,2
E01000127,E01000127,-0.544234874,1
E01000128,E01000128,-0.64251537,1
E01000129,E01000129,-0.000662715,3
E01000130,E01000130,-0.62849867,1
E01000131,E01000131,-0.477365787,1
E01000132,E01000132,-0.08746796,2
E01000133,E01000133,-0.262151635,2
E01000134,E01000134,-0.693729281,1
E01000135,E01000135,-0.190897306,2
E01000136,E01000136,-0.793371432,1
E01000137,E01000137,-0.123311797,2
E01000138,E01000138,-0.260484694,2
E01000139,E01000139,-0.833534033,1
E01000140,E01000140,-0.772514436,1
E01000141,E01000141,-0.549250132,1
E01000142,E01000142,-0.137934265,2
E01000143,E01000143,0.068290467,3
E01000144,E01000144,-0.551227379,1
E01000145,E01000145,-0.370511152,1
E01000146,E01000146,-0.645120775,1
E01000147,E01000147,-0.588873863,1
E01000150,E01000150,-0.670954663,1
E01000151,E01000151,0.060091801,3
E01000152,E01000152,-0.491139335,1
E01000153,E01000153,0.154559357,3
E01000154,E01000154,-0.250906413,2
E01000156,E01000156,-0.61702328,1
E01000157,E01000157,-0.562799912,1
E01000158,E01000158,-0.443925393,1
E01000159,E01000159,-0.476253895,1
E01000160,E01000160,-0.701085532,1
E01000161,E01000161,1.001400989,7
E01000162,E01000162,-0.038879328,3
E01000163,E01000163,-0.244243562,2
E01000164,E01000164,-0.473083802,1
E01000165,E01000165,-0.642944227,1
E01000166,E01000166,-0.338977149,2
E01000167,E01000167,0.104016456,3
E01000168,E01000168,-0.584045422,1
E01000169,E01000169,-0.283032423,2
E01000170,E01000170,-0.208042837,2
E01000171,E01000171,-0.498230977,1
E01000172,E01000172,-0.682236157,1
E01000173,E01000173,-0.742390306,1
E01000174,E01000174,0.094781368,3
E01000175,E01000175,-0.306527488,2
E01000176,E01000176,-0.096933795,2
E01000177,E01000177,0.061345864,3
E01000178,E01000178,-0.549535328,1
E01000179,E01000179,-0.685003186,1
E01000180,E01000180,-0.444654351,1
E01000181,E01000181,-0.888182673,1
E01000182,E01000182,-1.054734713,1
E01000183,E01000183,0.042608429,3
E01000184,E01000184,-0.44295076,1
E01000185,E01000185,-0.389954518,1
E01000186,E01000186,-0.811437052,1
E01000187,E01000187,-0.340430834,2
E01000188,E01000188,-0.518336638,1
E01000189,E01000189,-0.776449412,1
E01000190,E01000190,-0.580631497,1
E01000191,E01000191,-0.683185192,1
E01000192,E01000192,-0.500045769,1
E01000193,E01000193,-0.809103998,1
E01000194,E01000194,-0.739481245,1
E01000195,E01000195,-0.19787942,2
E01000196,E01000196,-0.556491475,1
E01000197,E01000197,-0.659311815,1
E01000198,E01000198,-0.031912404,3
E01000199,E01000199,-0.526030595,1
E01000200,E01000200,-0.635663385,1
E01000201,E01000201,-0.966050603,1
E01000202,E01000202,-0.707804402,1
E01000203,E01000203,-0.373169966,1
E01000204,E01000204,-0.127373165,2
E01000205,E01000205,-0.912350739,1
E01000206,E01000206,-0.492887305,1
E01000207,E01000207,-0.632557843,1
E01000208,E01000208,-0.84070899,1
E01000209,E01000209,-0.667590007,1
E01000210,E01000210,-0.719242238,1
E01000211,E01000211,-0.580767702,1
E01000212,E01000212,-0.621888131,1
E01000213,E01000213,-0.955450938,1
E01000214,E01000214,-0.782193221,1
E01000215,E01000215,-0.51776994,1
E01000216,E01000216,-0.443305528,1
E01000217,E01000217,-0.860032926,1
E01000218,E01000218,-0.663817864,1
E01000219,E01000219,-0.707248151,1
E01000220,E01000220,0.587449142,5
E01000221,E01000221,-0.159103617,2
E01000222,E01000222,-0.239165429,2
E01000223,E01000223,-0.195997737,2
E01000224,E01000224,-0.189773634,2
E01000225,E01000225,-0.574668593,1
E01000226,E01000226,-0.539054675,1
E01000227,E01000227,0.145946126,3
E01000228,E01000228,-0.696009777,1
E01000229,E01000229,-0.154635785,2
E01000230,E01000230,-0.336399489,2
E01000231,E01000231,-0.801816628,1
E01000232,E01000232,-0.258253536,2
E01000233,E01000233,-0.896673906,1
E01000234,E01000234,-0.595032837,1
E01000235,E01000235,-0.086318715,2
E01000236,E01000236,-0.297438663,2
E01000237,E01000237,-0.749792369,1
E01000238,E01000238,-0.428247528,1
E01000239,E01000239,-0.731708046,1
E01000240,E01000240,-0.619178017,1
E01000241,E01000241,-0.489484709,1
E01000242,E01000242,-0.455763137,1
E01000243,E01000243,-0.315016181,2
E01000244,E01000244,-0.575376953,1
E01000245,E01000245,-0.130871339,2
E01000246,E01000246,-0.37151496,1
E01000247,E01000247,-0.381465193,1
E01000248,E01000248,-0.047714015,3
E01000249,E01000249,-0.33043713,2
E01000250,E01000250,-0.199974707,2
E01000251,E01000251,0.06055818,3
E01000252,E01000252,-0.115144716,2
E01000253,E01000253,0.143841668,3
E01000254,E01000254,-0.367701879,1
E01000255,E01000255,0.628442724,6
E01000256,E01000256,-0.516360582,1
E01000257,E01000257,-0.250267049,2
E01000258,E01000258,-0.81552197,1
E01000259,E01000259,-0.411628163,1
E01000260,E01000260,-0.745497889,1
E01000261,E01000261,-0.4078239,1
E01000263,E01000263,-0.790676317,1
E01000264,E01000264,-0.779041861,1
E01000265,E01000265,-0.447703695,1
E01000266,E01000266,-0.615812015,1
E01000267,E01000267,-0.338207328,2
E01000268,E01000268,-0.24424856,2
E01000269,E01000269,-0.35761324,2
E01000270,E01000270,-0.305234497,2
E01000271,E01000271,-0.36331845,1
E01000272,E01000272,0.747028248,6
E01000273,E01000273,-0.191757267,2
E01000274,E01000274,-0.337801482,2
E01000275,E01000275,-0.15275863,2
E01000276,E01000276,-0.784599954,1
E01000277,E01000277,-0.536775736,1
E01000278,E01000278,-0.723415506,1
E01000279,E01000279,-0.674347045,1
E01000280,E01000280,-0.794785665,1
E01000281,E01000281,-0.537210043,1
E01000282,E01000282,-0.677145213,1
E01000283,E01000283,-0.657620611,1
E01000284,E01000284,-0.138116623,2
E01000285,E01000285,0.06822216,3
E01000286,E01000286,0.100130243,3
E01000287,E01000287,0.147396779,3
E01000288,E01000288,-0.38443087,1
E01000289,E01000289,-0.297045638,2
E01000290,E01000290,0.008142456,3
E01000291,E01000291,-0.100967969,2
E01000292,E01000292,-0.104203871,2
E01000293,E01000293,-0.458959164,1
E01000294,E01000294,0.390195617,4
E01000295,E01000295,-0.634654077,1
E01000296,E01000296,-0.789575186,1
E01000297,E01000297,-0.534152813,1
E01000298,E01000298,-0.762737073,1
E01000299,E01000299,-0.454917893,1
E01000300,E01000300,-0.577604693,1
E01000301,E01000301,-0.611003882,1
E01000302,E01000302,-0.373152971,1
E01000303,E01000303,-0.644256411,1
E01000304,E01000304,-0.685521864,1
E01000305,E01000305,-0.32969707,2
E01000306,E01000306,-0.618152648,1
E01000307,E01000307,-0.152246537,2
E01000308,E01000308,-0.71425461,1
E01000309,E01000309,-0.623858633,1
E01000310,E01000310,-0.030450325,3
E01000311,E01000311,-0.665990726,1
E01000312,E01000312,0.505504649,5
E01000313,E01000313,-0.750505845,1
E01000314,E01000314,-0.328517855,2
E01000315,E01000315,0.20818838,4
E01000316,E01000316,-0.538272955,1
E01000317,E01000317,-0.557520662,1
E01000318,E01000318,-0.471496545,1
E01000319,E01000319,-0.651742004,1
E01000320,E01000320,-0.134911727,2
E01000321,E01000321,-0.202156455,2
E01000322,E01000322,0.14059358,3
E01000323,E01000323,0.071244939,3
E01000324,E01000324,-0.334487148,2
E01000325,E01000325,-0.114558496,2
E01000326,E01000326,0.278745723,4
E01000327,E01000327,-0.076627823,2
E01000328,E01000328,0.924796836,7
E01000329,E01000329,0.23983011,4
E01000330,E01000330,0.542908151,5
E01000331,E01000331,0.292859169,4
E01000332,E01000332,0.209532433,4
