MHI_2022,LSOA22
-1.161850719,E01000001
-1.186593541,E01000002
-0.863323298,E01000003
-1.148610587,E01000005
-1.064453705,E01000006
-1.18412411,E01000007
-1.027819535,E01000008
-0.811539665,E01000009
-1.077061428,E01034473
-0.871157159,E01000011
-1.140128969,E01000012
-0.735441882,E01000013
0.0580213,E01000014
-0.418609971,E01000015
0.417093781,E01000016
0.033365828,E01000017
-0.151562046,E01000018
-0.846132618,E01000019
0.188134244,E01000020
0.101309491,E01000021
-0.060513257,E01000022
-0.651563189,E01034472
-0.376736772,E01000024
0.092270521,E01000025
-0.00345928,E01000027
0.746170238,E01000028
-0.050618834,E01000029
-0.505140087,E01000030
-0.665390038,E01000031
-0.531161052,E01000032
-0.047767777,E01000033
1.371651577,E01000034
0.793348047,E01000035
-0.070856466,E01000036
-0.354098047,E01000037
-0.220805642,E01000038
-0.411958231,E01000039
-0.442897974,E01000040
-0.386619838,E01000041
-0.544324423,E01000042
-0.416808926,E01000043
-1.230016126,E01000044
-0.372880382,E01000045
-0.225889099,E01000046
-1.092984925,E01034479
-1.010859792,E01000049
-0.76004496,E01000050
-1.000203294,E01000051
-0.620709281,E01000052
0.686801007,E01000053
0.030463315,E01000054
-0.501701203,E01000055
0.513524444,E01000056
-0.685741737,E01000057
-0.131173145,E01000058
0.163188781,E01000059
0.289447801,E01000060
1.004062389,E01000061
-0.200271142,E01000062
-0.357521572,E01000063
0.456619271,E01000064
0.369023183,E01000065
-0.814580679,E01000066
-0.407052139,E01000067
-0.855497909,E01000068
-0.771177334,E01000069
-0.737041719,E01000070
-0.872688585,E01000071
-0.23667838,E01000072
0.156362478,E01000073
-0.0148474,E01000074
-0.282310177,E01000075
-0.261036057,E01000076
0.133820798,E01000077
-0.412022986,E01000078
-0.104939813,E01000079
-0.257949748,E01000080
-0.239505298,E01000081
-0.697285141,E01000082
-0.367722126,E01000083
-0.246714015,E01000084
-0.30568701,E01000085
1.133199459,E01000086
-0.566177326,E01000087
-0.016679967,E01000088
-0.847375974,E01000089
-0.811627983,E01000090
-0.452716168,E01000091
-0.675222957,E01034475
-0.323304917,E01000093
-0.866491762,E01000094
-0.484930677,E01000095
-0.679304582,E01000096
0.562578975,E01000097
-0.217709162,E01000098
-0.620922593,E01000099
-0.273372917,E01000100
0.334131072,E01000101
0.084778329,E01000102
-0.325030735,E01000103
-0.281307019,E01000104
0.235104448,E01000105
0.315031329,E01000106
-0.317847918,E01000107
-0.620987734,E01000108
-0.397601732,E01034469
-0.730696776,E01000110
-0.280294784,E01000111
-0.461131179,E01000112
-0.734566542,E01000113
-0.549551802,E01000114
-0.775715565,E01000115
-0.356752143,E01000116
0.017327335,E01000117
-0.335403161,E01000118
-0.577294264,E01000119
-0.610749018,E01000120
0.37673987,E01000121
-0.658062235,E01000122
-0.483831513,E01000123
-0.365687246,E01000124
-0.482324447,E01033913
-0.309434898,E01000126
-0.544234874,E01000127
-0.64251537,E01000128
-0.000662715,E01000129
-0.62849867,E01000130
-0.477365787,E01000131
-0.08746796,E01000132
-0.262151635,E01000133
-0.693729281,E01000134
-0.190897306,E01000135
-0.793371432,E01000136
-0.123311797,E01000137
-0.260484694,E01000138
-0.833534033,E01000139
-0.772514436,E01000140
-0.549250132,E01000141
-0.137934265,E01000142
0.068290467,E01000143
-0.551227379,E01000144
-0.370511152,E01000145
-0.645120775,E01000146
-0.588873863,E01000147
-0.429427738,E01033923
-0.670954663,E01000150
0.060091801,E01000151
-0.491139335,E01000152
0.154559357,E01000153
-0.250906413,E01000154
-0.693462636,E01033916
-0.61702328,E01000156
-0.562799912,E01000157
-0.443925393,E01000158
-0.476253895,E01000159
-0.701085532,E01000160
1.001400989,E01000161
-0.038879328,E01000162
-0.244243562,E01000163
-0.473083802,E01000164
-0.642944227,E01000165
-0.338977149,E01000166
0.104016456,E01000167
-0.584045422,E01000168
-0.283032423,E01000169
-0.208042837,E01000170
-0.498230977,E01000171
-0.682236157,E01000172
-0.742390306,E01000173
0.094781368,E01000174
-0.306527488,E01000175
-0.096933795,E01000176
0.061345864,E01000177
-0.549535328,E01000178
-0.685003186,E01000179
-0.444654351,E01000180
-0.888182673,E01000181
-1.054734713,E01000182
0.042608429,E01000183
-0.44295076,E01000184
-0.389954518,E01000185
-0.811437052,E01000186
-0.340430834,E01000187
-0.518336638,E01000188
-0.776449412,E01000189
-0.580631497,E01000190
-0.683185192,E01000191
-0.500045769,E01000192
-0.809103998,E01000193
-0.739481245,E01000194
-0.19787942,E01000195
-0.556491475,E01000196
-0.659311815,E01000197
-0.031912404,E01000198
-0.526030595,E01000199
-0.635663385,E01000200
-0.966050603,E01000201
-0.707804402,E01000202
-0.373169966,E01000203
-0.127373165,E01000204
-0.912350739,E01000205
-0.492887305,E01000206
-0.632557843,E01000207
-0.84070899,E01000208
-0.667590007,E01000209
-0.719242238,E01000210
-0.580767702,E01000211
-0.621888131,E01000212
-0.955450938,E01000213
-0.782193221,E01000214
-0.51776994,E01000215
-0.443305528,E01000216
-0.860032926,E01000217
-0.663817864,E01000218
-0.707248151,E01000219
0.587449142,E01000220
-0.159103617,E01000221
-0.239165429,E01000222
-0.195997737,E01000223
-0.189773634,E01000224
-0.574668593,E01000225
-0.539054675,E01000226
0.145946126,E01000227
-0.696009777,E01000228
-0.154635785,E01000229
-0.336399489,E01000230
-0.801816628,E01000231
-0.258253536,E01000232
-0.896673906,E01000233
-0.595032837,E01000234
-0.086318715,E01000235
-0.297438663,E01000236
-0.749792369,E01000237
-0.428247528,E01000238
-0.731708046,E01000239
-0.619178017,E01000240
-0.489484709,E01000241
-0.455763137,E01000242
-0.315016181,E01000243
-0.575376953,E01000244
-0.130871339,E01000245
-0.37151496,E01000246
-0.381465193,E01000247
-0.047714015,E01000248
-0.33043713,E01000249
-0.199974707,E01000250
0.06055818,E01000251
-0.115144716,E01000252
0.143841668,E01000253
-0.367701879,E01000254
0.628442724,E01000255
-0.516360582,E01000256
-0.250267049,E01000257
-0.81552197,E01000258
-0.411628163,E01000259
-0.745497889,E01000260
-0.4078239,E01000261
-0.762481473,E01033911
-0.790676317,E01000263
-0.779041861,E01000264
-0.447703695,E01000265
-0.615812015,E01000266
-0.338207328,E01000267
-0.24424856,E01000268
-0.35761324,E01000269
-0.305234497,E01000270
-0.36331845,E01000271
0.747028248,E01000272
-0.191757267,E01000273
