LSOA_code,Edu_L4+
E01000001,0.832225
E01000002,0.835385
E01000003,0.700997
E01000005,0.403967
E01000006,0.349195
E01000007,0.484947
E01000008,0.319522
E01000009,0.335932
E01000011,0.3217
E01000012,0.39136
E01000013,0.276626
E01000014,0.290053
E01000015,0.320646
E01000016,0.311874
E01000017,0.297401
E01000018,0.311669
E01000019,0.311755
E01000020,0.288294
E01000021,0.297976
E01000022,0.319013
E01000024,0.300179
E01000025,0.310345
E01000027,0.255061
E01000028,0.32644
E01000029,0.318087
E01000030,0.336645
E01000031,0.356683
E01000032,0.313131
E01000033,0.265471
E01000034,0.288994
E01000035,0.305003
E01000036,0.333906
E01000037,0.299644
E01000038,0.288716
E01000039,0.3493
E01000040,0.28703
E01000041,0.31259
E01000042,0.329819
E01000043,0.331148
E01000044,0.344164
E01000045,0.307154
E01000046,0.325086
E01000049,0.331116
E01000050,0.376281
E01000051,0.541878
E01000052,0.335878
E01000053,0.281457
E01000054,0.317251
E01000055,0.282371
E01000056,0.285375
E01000057,0.31299
E01000058,0.31781
E01000059,0.274131
E01000060,0.323265
E01000061,0.307692
E01000062,0.333532
E01000063,0.297521
E01000064,0.336988
E01000065,0.283105
E01000066,0.299061
E01000067,0.344478
E01000068,0.376097
E01000069,0.316271
E01000070,0.372744
E01000071,0.377756
E01000072,0.307102
E01000073,0.299485
E01000074,0.297045
E01000075,0.316883
E01000076,0.280982
E01000077,0.273643
E01000078,0.282222
E01000079,0.304754
E01000080,0.306199
E01000081,0.294352
E01000082,0.297222
E01000083,0.264451
E01000084,0.281365
E01000085,0.28606
E01000086,0.28663
E01000087,0.296236
E01000088,0.344731
E01000089,0.320843
E01000090,0.321341
E01000091,0.333107
E01000093,0.307982
E01000094,0.472534
E01000095,0.375497
E01000096,0.337557
E01000097,0.275433
E01000098,0.289268
E01000099,0.370753
E01000100,0.280851
E01000101,0.281298
E01000102,0.271462
E01000103,0.349507
E01000104,0.335735
E01000105,0.302805
E01000106,0.322498
E01000107,0.294246
E01000108,0.315126
E01000110,0.354943
E01000111,0.30273
E01000112,0.37367
E01000113,0.348396
E01000114,0.35132
E01000115,0.484615
E01000116,0.428047
E01000117,0.416905
E01000118,0.440801
E01000119,0.481507
E01000120,0.468954
E01000121,0.336921
E01000122,0.489644
E01000123,0.482105
E01000124,0.443159
E01000126,0.396896
E01000127,0.326377
E01000128,0.374222
E01000129,0.295095
E01000130,0.330719
E01000131,0.41375
E01000132,0.310116
E01000133,0.341693
E01000134,0.369535
E01000135,0.571429
E01000136,0.620837
E01000137,0.44587
E01000138,0.443694
E01000139,0.586447
E01000140,0.576876
E01000141,0.444089
E01000142,0.46286
E01000143,0.40076
E01000144,0.54579
