bge_code,bge_type,la_name,co_name,reg_name,country,total_pop,urban_area,urban_pct,tc_goal,treecanopy,tc_gap,priority_i,inc_rank,incnorm,inc_dec,emp_rank,empnorm,emp_dec,hlth_rank,hlthnorm,hlth_dec,temp_diff,tempnorm,NO2_avg,PM25_avg,apb_index,dep_ratio,depratnorm,dep_perc,tes,la_tes,pctmineth,pct_child,pct_senior,la_code,co_code,peat
E01000001,LSOA,City of London,Cities of London and Westminster,London,England,1475,0.127634325,1,0.2,0.108141356,0.091858644,0.350577643,32831,0.000396474,10,32742,0.003111653,10,32113,0.022239825,10,0.17,0.563157895,34.92,9.693,0.882636279,0.512820513,0.198975494,0.338983051,90,76,0.20624152,0.088813559,0.250169492,E09000001,E14000639,0
E01000002,LSOA,City of London,Cities of London and Westminster,London,England,1378,0.225629166,1,0.24,0.041180629,0.198819371,0.366294419,29901,0.089694715,10,31190,0.05042709,10,29705,0.095570314,10,-0.57,0.514473684,34.92,9.693,0.882636279,0.369781312,0.142494047,0.269956459,79,76,0.222222222,0.069666183,0.200290276,E09000001,E14000639,0
E01000003,LSOA,City of London,Cities of London and Westminster,London,England,1618,0.059095158,1,0.2,0.126760509,0.073239491,0.559331772,18510,0.436091372,7,15103,0.539932886,6,17600,0.464111626,6,1.07,0.622368421,33.452,9.83,0.870082658,0.337190083,0.129624848,0.252163164,88,76,0.261166253,0.072929543,0.179233622,E09000001,E14000639,0
E01000005,LSOA,City of London,Cities of London and Westminster,London,England,1094,0.18967636,1,0.24,0.042197725,0.197802275,0.650830907,6029,0.816218854,3,7833,0.76128737,3,17907,0.454758713,6,1.08,0.623026316,35.132,9.76,0.890412147,0.329283111,0.126502647,0.247714808,63,76,0.61852861,0.154478976,0.093235832,E09000001,E14000639,0
E01000006,LSOA,Barking and Dagenham,Barking,London,England,1849,0.146627986,1,0.2,0.088653627,0.111346373,0.506159369,14023,0.572661563,5,21692,0.339322758,7,21581,0.342858884,8,0.94,0.613815789,22.25,8.935,0.640963187,0.510620915,0.198106946,0.338020552,84,80,0.67804878,0.252568956,0.085451595,E09000002,E14000540,0
E01000007,LSOA,Barking and Dagenham,Barking,London,England,2903,0.200166475,1,0.2,0.088743134,0.111256866,0.606118809,6261,0.80914331,3,11487,0.650061013,4,16414,0.500213259,6,0.57,0.589473684,22.949,9.016,0.656988355,0.434997528,0.168245773,0.303134688,80,80,0.735375086,0.279021702,0.024112987,E09000002,E14000540,0
E01000008,LSOA,Barking and Dagenham,Barking,London,England,1793,0.185012964,1,0.2,0.184498107,0.015501893,0.653248233,3382,0.896886151,2,6431,0.803996339,3,12334,0.624512552,5,-1.59,0.447368421,23.582,9.106,0.6726443,0.624094203,0.242913793,0.38427217,97,80,0.75,0.348577803,0.035694367,E09000002,E14000540,0
E01000009,LSOA,Barking and Dagenham,Barking,London,England,1807,0.127977517,1,0.2,0.093943061,0.106056939,0.64576677,7506,0.771203757,3,11132,0.660890787,4,9661,0.705855472,4,1.64,0.659868421,22.695,8.981,0.650782716,0.489694971,0.189843983,0.328721638,80,80,0.699722992,0.239623686,0.089097952,E09000002,E14000540,0
E01000011,LSOA,Barking and Dagenham,Barking,London,England,1708,0.089970838,1,0.2,0.271283393,0,0.566685769,9033,0.724694257,4,16108,0.50933496,6,18178,0.446502559,7,0.52,0.586184211,22.695,8.981,0.650782716,0.499561018,0.193739759,0.333138173,100,80,0.724765258,0.255854801,0.077283372,E09000002,E14000540,0
E01000012,LSOA,Barking and Dagenham,Barking,London,England,2348,0.138993066,1,0.2,0.14520251,0.05479749,0.613428789,4570,0.860684986,2,13201,0.597864552,5,16887,0.485803071,6,0.14,0.561184211,23.202,9.052,0.66324774,0.652357495,0.254074032,0.394804089,90,80,0.731686542,0.353918228,0.04088586,E09000002,E14000540,0
E01000013,LSOA,Barking and Dagenham,Barking,London,England,1877,0.207907856,1,0.2,0.093861248,0.106138752,0.660300492,5966,0.81814023,3,7013,0.786272117,3,7172,0.781623203,3,0.2,0.565131579,19.116,8.397,0.557100894,0.583966245,0.22706859,0.368673415,80,80,0.414660246,0.278636121,0.090037294,E09000002,E14000540,0
E01000014,LSOA,Barking and Dagenham,Barking,London,England,1754,0.341412091,1,0.24,0.070130251,0.169869749,0.648147763,6627,0.798011528,3,7932,0.758297743,3,10972,0.66594565,4,1.63,0.659210526,18.878,8.395,0.553402094,0.564674398,0.219450878,0.360889396,68,80,0.394285714,0.267958951,0.092930445,E09000002,E14000540,0
E01000015,LSOA,Barking and Dagenham,Barking,London,England,2421,0.280775905,1,0.2,0.128080353,0.071919647,0.613685213,5755,0.824575315,3,9271,0.717510677,4,15626,0.524220083,6,0.16,0.5625,19.157,8.378,0.556408927,0.615076718,0.239353087,0.380834366,87,80,0.441553077,0.311441553,0.069392813,E09000002,E14000540,0
E01000016,LSOA,Barking and Dagenham,Barking,London,England,1849,0.198852838,1,0.2,0.068611638,0.131388362,0.631296183,6711,0.795449693,3,9461,0.71171446,4,10676,0.674932976,4,0.65,0.594736842,18.776,8.345,0.548440306,0.557708509,0.216700279,0.358031368,76,80,0.427105832,0.268793943,0.089237426,E09000002,E14000540,0
E01000017,LSOA,Barking and Dagenham,Barking,London,England,1726,0.158439407,1,0.2,0.118140113,0.081859887,0.676252927,4033,0.877062429,2,5016,0.847162904,2,6950,0.788386546,3,-0.06,0.548026316,18.822,8.41,0.553594766,0.584940312,0.227453217,0.369061414,84,80,0.487804878,0.27230591,0.096755504,E09000002,E14000540,0
E01000018,LSOA,Barking and Dagenham,Barking,London,England,1779,0.174025471,1,0.2,0.0989571,0.1010429,0.630930062,5998,0.817164293,3,7832,0.761317877,3,12006,0.63450524,5,0.28,0.570394737,18.776,8.345,0.548440306,0.534943917,0.207711295,0.348510399,81,80,0.381756757,0.265879708,0.082630691,E09000002,E14000540,0
E01000019,LSOA,Barking and Dagenham,Barking,London,England,1657,0.18311235,1,0.2,0.117841923,0.082158077,0.650436594,7049,0.785141358,3,7641,0.767114094,3,9374,0.714599074,4,0.41,0.578947368,19.14,8.491,0.563918731,0.667002012,0.259856667,0.4001207,84,80,0.574622356,0.322269161,0.077851539,E09000002,E14000540,0
E01000020,LSOA,Barking and Dagenham,Barking,London,England,2192,0.187331605,1,0.2,0.099218179,0.100781821,0.665897501,5760,0.824422825,3,8401,0.743990238,3,6282,0.808737509,3,0.27,0.569736842,19.189,8.517,0.566438407,0.665653495,0.259324183,0.399635036,81,80,0.577889447,0.29790146,0.101733577,E09000002,E14000540,0
E01000021,LSOA,Barking and Dagenham,Barking,London,England,1700,0.170226443,1,0.2,0.104944817,0.095055183,0.656630491,5007,0.847387843,2,7865,0.760311165,3,10085,0.692938094,4,0.76,0.601973684,19.318,8.502,0.567338091,0.619047619,0.240921064,0.382352941,82,80,0.55339233,0.300588235,0.081764706,E09000002,E14000540,0
E01000022,LSOA,Barking and Dagenham,Barking,London,England,1473,0.128310435,1,0.2,0.084277657,0.115722343,0.651258028,6941,0.788435146,3,7576,0.76909701,3,9980,0.696136973,4,0.91,0.611842105,19.295,8.538,0.569467471,0.616904501,0.240074817,0.381534284,78,80,0.524745763,0.285132383,0.096401901,E09000002,E14000540,0
E01000024,LSOA,Barking and Dagenham,Barking,London,England,1490,0.12869443,1,0.2,0.095518189,0.104481811,0.60023748,10056,0.693555766,4,12570,0.617083588,5,12148,0.630179137,5,0.77,0.602631579,19.51,8.582,0.575707909,0.555323591,0.215758554,0.35704698,82,80,0.544841537,0.272483221,0.084563758,E09000002,E14000540,0
E01000025,LSOA,Barking and Dagenham,Barking,London,England,1916,0.153397775,1,0.2,0.075281238,0.124718762,0.657069114,5570,0.830217451,2,7683,0.765832825,3,10405,0.68318913,4,0.91,0.611842105,19.714,8.615,0.581027939,0.620981387,0.241684645,0.38308977,76,80,0.466701353,0.282359081,0.100730689,E09000002,E14000540,0
E01000027,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,2085,0.427418907,0.29,0.24,0.19756045,0.04243955,0.60777673,5730,0.825337766,3,6959,0.787919463,3,13752,0.581312454,5,-1.84,0.430921053,16.329,7.929,0.48324071,0.709016393,0.276446756,0.414868106,92,80,0.419308357,0.32470024,0.090167866,E09000002,E14000657,0
E01000028,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1811,0.139422497,0.97,0.2,0.085930082,0.114069918,0.689638764,3610,0.889932599,2,6080,0.814704088,3,3254,0.900926152,2,-0.1,0.545394737,17.456,8.037,0.507525539,0.698874296,0.272441978,0.411374931,77,80,0.560747664,0.305908338,0.105466593,E09000002,E14000657,0
E01000029,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1821,0.255480325,1,0.24,0.099341837,0.140658163,0.518713672,14506,0.558022508,5,17567,0.464948139,6,20355,0.380179137,7,0.06,0.555921053,17.894,8.167,0.52301193,0.792322835,0.309341714,0.4420648,79,80,0.550136986,0.239978034,0.202086766,E09000002,E14000657,0
E01000030,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,2566,0.272742433,0.95,0.2,0.156521897,0.043478103,0.638789837,3448,0.894873281,2,5569,0.830292862,2,15751,0.520411894,6,-0.1,0.545394737,17.356,8.041,0.506303999,0.755129959,0.294655478,0.430241621,92,80,0.540951638,0.360872954,0.069368667,E09000002,E14000657,0
